chr1	778569	778817	249	778699	92.42	81.2068	15.5695	75.1172	ATF1_peak_1
chr1	1000796	1000968	173	1000881	57.88	61.765	19.6258	55.9288	ATF1_peak_2
chr1	1471610	1471790	181	1471692	43.87	29.6308	8.97496	24.4232	ATF1_peak_3
chr1	1511941	1512176	236	1512085	43.87	42.0281	14.9583	36.5468	ATF1_peak_4
chr1	1574807	1575021	215	1574917	103.62	135.566	34.8731	128.438	ATF1_peak_5
chr1	1615300	1615504	205	1615396	57.88	76.8936	28.3065	70.8667	ATF1_peak_6
chr1	1658956	1659236	281	1659009	28.01	18.3673	7.2513	13.4733	ATF1_peak_7
chr1	1724322	1724525	204	1724418	34.54	30.322	11.8466	25.0955	ATF1_peak_8
chr1	2180426	2180616	191	2180524	64.41	53.4925	13.0824	47.7931	ATF1_peak_9
chr1	2412494	2412685	192	2412593	55.08	58.8473	18.6923	53.0595	ATF1_peak_10
chr1	3992161	3992306	146	3992201	18.67	7.28745	3.93403	2.9103	ATF1_peak_11
chr1	7771201	7771388	188	7771278	33.61	36.284	15.7301	30.9182	ATF1_peak_12
chr1	9428885	9429135	251	9428991	75.61	89.2543	25.538	83.0271	ATF1_peak_13
chr1	10210425	10210547	123	10210482	13.07	11.3449	7.03455	6.71704	ATF1_peak_14
chr1	11681087	11681238	152	11681162	32.67	29.2728	12.026	24.071	ATF1_peak_15
chr1	11980148	11980522	375	11980431	55.08	58.8473	18.6923	53.0595	ATF1_peak_16
chr1	19210263	19210451	189	19210352	66.28	67.4438	18.4832	61.5406	ATF1_peak_17
chr1	23778328	23778448	121	23778395	16.8	11.4081	6.64296	6.77789	ATF1_peak_18
chr1	26169739	26169961	223	26169833	55.08	58.8473	18.6923	53.0595	ATF1_peak_19
chr1	26408644	26408781	138	26408705	18.67	17.4972	9.83507	12.6256	ATF1_peak_20
chr1	26432211	26432393	183	26432313	59.74	58.9123	17.2569	53.124	ATF1_peak_21
chr1	27725717	27725866	150	27725789	26.14	28.4555	13.5691	23.2767	ATF1_peak_22
chr1	29230876	29231037	162	29230960	41.07	38.0163	13.3147	32.6175	ATF1_peak_23
chr1	31644537	31644902	366	31644649	83.08	95.6125	24.73	89.2786	ATF1_peak_24
chr1	32205546	32205720	175	32205640	39.21	25.522	8.04146	20.4218	ATF1_peak_25
chr1	35641479	35641644	166	35641555	49.48	36.0818	10.0952	30.7186	ATF1_peak_26
chr1	37764407	37764527	121	37764478	18.67	20.0926	11.4361	15.1511	ATF1_peak_27
chr1	38991188	38991324	137	38991260	16.8	14.8226	8.81343	10.052	ATF1_peak_28
chr1	40161189	40161409	221	40161299	100.82	59.5214	8.48489	53.7306	ATF1_peak_29
chr1	42335279	42335429	151	42335376	28.94	23.0554	9.97957	18.0209	ATF1_peak_30
chr1	43974772	43974982	211	43974863	33.61	29.0782	11.5354	23.881	ATF1_peak_31
chr1	44775403	44775578	176	44775492	57.88	53.9763	15.6589	48.2741	ATF1_peak_32
